timestamp,location,mining_activity,mining_depth_m,ch4_pct,co_ppm,gas_pressure_mpa,gas_emission_rate_m3t,vertical_stress_mpa,horizontal_stress_mpa,vibration_level,seismic_amplitude_mm,microseismic_activity,temperature_c,humidity_pct,airflow_m3min,gas_diffusion_coeff,coal_strength_mpa,permeability_md,stress_energy_index,mox_sensor_1,mox_sensor_2,mox_sensor_3,mox_sensor_4,mox_sensor_5,mox_sensor_6,mox_sensor_7,mox_sensor_8,risk_score,outburst_risk_binary,outburst_risk_class
2022-01-01 00:00:00,Face-A2,Blasting,403.5,2.467,29.63,0.9991,3.74,9.04,5.88,0.471,0.265,1.051,27.3,71.2,82.0,0.03422,27.51,3.3518,1.416,2.38,2.447,2.53,2.358,2.596,2.572,2.566,2.193,0.2593,0,0
2022-01-01 00:00:20,Return-Air,Blasting,570.3,3.99,17.92,1.4322,6.113,13.73,8.36,1.14,2.266,2.401,27.3,89.8,145.3,0.03261,16.6,3.0359,6.699,4.067,3.864,4.027,3.861,4.056,4.017,4.108,4.001,0.5706,0,2
2022-01-01 00:00:40,Gate-Road-1,Cutting,656.8,3.502,0.49,1.6274,5.857,14.99,9.43,0.763,1.254,0.388,24.0,76.4,161.7,0.03321,11.69,1.7407,11.878,3.679,3.611,3.734,3.488,3.636,3.672,3.749,3.621,0.5211,0,1
2022-01-01 00:01:00,Face-B2,Idle,352.8,0.674,1.9,0.7602,0.885,9.74,5.9,0.684,0.529,0.778,26.3,57.2,233.7,0.05422,26.79,3.4722,2.11,0.485,0.676,0.662,0.685,0.563,0.777,0.734,0.693,0.2624,0,0
2022-01-01 00:01:20,Face-A1,Roof-Support,705.5,2.226,2.95,1.5619,3.965,16.93,9.62,1.647,0.928,1.931,28.3,69.8,147.3,0.03774,10.44,1.6221,12.0,2.41,2.289,2.415,2.109,2.335,2.467,2.404,2.201,0.5102,0,1
2022-01-01 00:01:40,Face-A1,Ventilation-Check,484.6,1.319,3.41,1.0233,2.008,8.45,4.18,0.989,1.575,1.873,23.4,74.0,50.0,0.03633,25.0,2.6095,1.649,1.309,1.326,1.41,1.41,1.327,1.337,1.274,1.34,0.2584,0,0
2022-01-01 00:02:00,Face-A1,Cutting,383.0,2.47,6.31,0.9289,3.175,12.53,7.31,0.642,0.341,1.255,23.7,71.6,141.9,0.04513,23.77,4.3929,3.543,2.309,2.394,2.481,2.39,2.555,2.359,2.44,2.283,0.4279,0,1
2022-01-01 00:02:20,Gate-Road-2,Idle,590.9,1.166,15.7,1.1724,2.466,14.09,7.84,0.849,0.269,1.545,32.9,80.1,180.6,0.03041,14.67,1.8635,7.716,1.315,1.462,1.363,1.343,1.372,1.31,1.41,1.144,0.3555,0,1
2022-01-01 00:02:40,Face-B2,Ventilation-Check,446.4,1.279,10.83,0.9795,2.359,10.47,6.19,0.642,0.318,0.755,30.0,66.9,86.3,0.04532,20.81,2.8974,3.509,1.292,1.277,1.196,1.341,1.303,1.324,1.308,1.276,0.2347,0,0
2022-01-01 00:03:00,Gate-Road-1,Idle,490.2,0.931,6.59,0.9546,2.078,14.26,8.16,0.735,0.255,1.97,29.2,72.0,203.3,0.0399,19.67,2.9884,6.634,1.115,1.094,0.919,0.982,1.051,0.949,1.108,0.912,0.3644,0,1
2022-01-01 00:03:20,Face-A1,Conveyor-Running,451.5,1.135,4.45,0.9007,2.314,9.84,6.24,0.527,0.77,0.273,25.8,80.9,198.2,0.04499,22.05,4.0635,2.281,1.223,1.308,1.204,1.187,1.288,1.273,1.223,1.382,0.2381,0,0
2022-01-01 00:03:40,Return-Air,Idle,402.0,1.271,2.31,0.8038,1.976,11.41,6.89,0.82,0.379,0.843,28.9,57.8,180.6,0.06401,24.29,3.1682,3.497,1.545,1.092,1.304,1.424,1.316,1.226,1.397,1.25,0.282,0,0
2022-01-01 00:04:00,Gate-Road-2,Conveyor-Running,586.9,1.907,1.02,1.3119,3.775,13.97,8.74,0.816,0.302,0.891,18.4,62.3,200.0,0.02395,16.81,1.9658,7.161,2.226,2.128,2.109,2.047,1.94,2.133,2.102,1.889,0.4242,0,1
2022-01-01 00:04:20,Face-A2,Blasting,465.6,2.976,10.15,1.221,4.181,10.05,6.39,0.516,1.675,0.603,23.2,91.1,161.3,0.03194,25.83,3.5784,2.629,2.851,2.732,3.02,2.874,2.947,2.82,2.969,2.787,0.4489,0,1
2022-01-01 00:04:40,Face-A1,Roof-Support,327.6,0.84,1.84,0.7482,1.184,10.24,6.0,1.084,0.335,1.153,30.5,68.2,153.5,0.04899,27.54,4.6264,2.117,0.925,0.807,0.93,0.837,0.811,0.84,0.725,0.648,0.1999,0,0
2022-01-01 00:05:00,Face-A1,Cutting,566.1,3.252,6.35,1.302,5.103,15.26,9.06,0.999,1.992,1.109,25.3,80.4,154.9,0.03983,15.82,1.8426,8.482,3.245,3.381,3.226,3.044,3.408,3.196,3.233,3.189,0.5102,0,1
2022-01-01 00:05:20,Face-A2,Cutting,355.3,1.444,2.18,0.8714,2.515,9.99,6.39,0.864,0.69,1.809,27.2,82.7,167.1,0.05491,25.46,3.7091,2.525,1.413,1.504,1.51,1.425,1.459,1.389,1.624,1.321,0.314,0,0
2022-01-01 00:05:40,Face-B1,Cutting,361.6,1.794,5.4,0.9218,2.566,9.48,7.65,0.831,0.559,0.0,29.4,59.0,260.5,0.04163,27.6,3.6313,2.741,1.664,1.73,1.649,1.661,1.71,1.709,1.747,1.742,0.3042,0,0
2022-01-01 00:06:00,Face-B1,Cutting,643.1,4.144,0.56,1.7154,6.012,16.8,9.29,0.865,0.67,0.185,25.0,63.4,149.7,0.0299,11.9,1.5622,12.0,4.195,3.959,4.171,4.169,4.215,3.962,4.22,3.921,0.7027,1,3
2022-01-01 00:06:20,Face-A2,Cutting,356.4,1.251,0.08,0.7977,2.292,7.43,4.49,0.373,1.25,0.86,25.5,72.1,210.5,0.05957,26.53,3.754,0.82,1.23,1.494,1.31,1.23,1.293,1.303,1.448,1.246,0.2613,0,0
2022-01-01 00:06:40,Face-B2,Cutting,222.0,1.325,26.11,0.5697,2.146,5.68,3.0,0.843,0.293,0.03,26.6,65.2,141.1,0.076,31.43,5.5387,0.511,1.401,1.24,1.386,1.153,1.22,1.277,1.487,1.273,0.1908,0,0
2022-01-01 00:07:00,Face-A1,Cutting,574.7,2.897,13.12,1.3931,4.176,13.25,7.94,1.73,0.951,0.833,28.6,76.0,179.1,0.02353,15.54,1.9789,6.417,2.775,2.789,2.9,2.752,2.833,2.953,2.823,2.616,0.3805,0,1
2022-01-01 00:07:20,Face-A2,Conveyor-Running,463.5,1.549,7.09,0.9746,2.381,9.92,5.41,0.741,0.465,0.89,21.5,77.3,177.1,0.04087,21.41,2.5459,2.346,1.576,1.638,1.631,1.384,1.642,1.577,1.539,1.568,0.2353,0,0
2022-01-01 00:07:40,Face-A2,Cutting,473.9,2.138,9.23,1.066,3.054,12.34,7.31,0.834,0.992,0.375,29.2,74.0,50.0,0.0422,22.1,3.8935,4.234,2.04,2.104,1.932,2.03,2.197,2.109,2.248,2.028,0.3554,0,1
2022-01-01 00:08:00,Face-B1,Idle,462.3,0.846,7.26,0.9449,0.924,12.95,7.89,0.685,0.439,0.632,27.9,71.5,184.7,0.04303,20.96,2.8744,4.773,0.853,0.847,0.786,0.758,0.826,0.728,0.856,0.668,0.3023,0,0
2022-01-01 00:08:20,Gate-Road-1,Cutting,527.8,2.642,17.06,1.2546,4.72,12.73,7.25,0.882,0.477,0.565,28.4,77.8,151.6,0.02868,17.48,3.1911,5.374,2.799,2.664,2.891,2.508,2.807,2.883,2.855,2.698,0.4346,0,1
2022-01-01 00:08:40,Face-A1,Conveyor-Running,409.7,1.092,21.9,0.9043,2.129,9.99,4.57,0.506,1.223,1.571,25.0,83.9,110.3,0.05449,20.39,3.1006,2.693,1.171,1.151,1.036,1.291,1.201,1.205,1.144,1.137,0.2572,0,0
2022-01-01 00:09:00,Face-B1,Conveyor-Running,677.1,1.332,2.24,1.3608,3.15,15.56,10.48,1.247,1.014,1.521,27.8,85.0,189.0,0.03442,10.55,1.3279,12.0,1.565,1.511,1.545,1.489,1.538,1.508,1.568,1.351,0.4119,0,1
2022-01-01 00:09:20,Face-B2,Idle,322.9,0.505,8.61,0.5683,0.938,8.08,5.52,0.624,0.287,0.674,31.8,74.7,222.7,0.08034,28.92,3.8967,1.103,0.457,0.49,0.539,0.632,0.676,0.569,0.503,0.454,0.2255,0,0
